#Onset,Duration,Annotation
2002-02-05T03:33:53.0000000,30,???
2002-02-05T03:34:23.0000000,30,???
2002-02-05T03:34:53.0000000,30,???
2002-02-05T03:35:23.0000000,30,???
2002-02-05T03:35:53.0000000,30,???
2002-02-05T03:36:23.0000000,30,???
2002-02-05T03:36:53.0000000,30,???
2002-02-05T03:37:23.0000000,30,???
2002-02-05T03:37:53.0000000,30,???
2002-02-05T03:38:23.0000000,30,???
2002-02-05T03:38:53.0000000,30,???
2002-02-05T03:39:23.0000000,30,???
2002-02-05T03:39:53.0000000,30,???
2002-02-05T03:40:23.0000000,30,???
2002-02-05T03:40:53.0000000,30,???
2002-02-05T03:41:23.0000000,30,???
2002-02-05T03:41:53.0000000,30,???
2002-02-05T03:42:23.0000000,30,???
2002-02-05T03:42:53.0000000,30,???
2002-02-05T03:43:23.0000000,30,???
2002-02-05T03:43:53.0000000,30,???
2002-02-05T03:44:23.0000000,30,???
2002-02-05T03:44:53.0000000,30,???
2002-02-05T03:45:23.0000000,30,???
2002-02-05T03:45:53.0000000,30,???
2002-02-05T03:46:23.0000000,30,???
2002-02-05T03:46:53.0000000,30,???
2002-02-05T03:47:23.0000000,30,???
2002-02-05T03:47:53.0000000,30,???
2002-02-05T03:48:23.0000000,30,???
2002-02-05T03:48:53.0000000,30,???
2002-02-05T03:49:23.0000000,30,???
2002-02-05T03:49:53.0000000,30,???
2002-02-05T03:50:23.0000000,30,???
2002-02-05T03:50:53.0000000,30,???
2002-02-05T03:51:23.0000000,30,???
2002-02-05T03:51:53.0000000,30,???
2002-02-05T03:52:23.0000000,30,???
2002-02-05T03:52:53.0000000,30,???
2002-02-05T03:53:23.0000000,30,???
2002-02-05T03:53:53.0000000,30,???
2002-02-05T03:54:23.0000000,30,???
2002-02-05T03:54:53.0000000,30,???
2002-02-05T03:55:23.0000000,30,???
2002-02-05T03:55:53.0000000,30,???
2002-02-05T03:56:23.0000000,30,???
2002-02-05T03:56:53.0000000,30,???
2002-02-05T03:57:23.0000000,30,???
2002-02-05T03:57:53.0000000,30,???
2002-02-05T03:58:23.0000000,30,???
2002-02-05T03:58:53.0000000,30,???
2002-02-05T03:59:23.0000000,30,???
2002-02-05T03:59:53.0000000,30,???
2002-02-05T04:00:23.0000000,30,???
2002-02-05T04:00:53.0000000,30,???
2002-02-05T04:01:23.0000000,30,???
2002-02-05T04:01:53.0000000,30,???
2002-02-05T04:02:23.0000000,30,???
2002-02-05T04:02:53.0000000,30,???
2002-02-05T04:03:23.0000000,30,???
2002-02-05T04:03:53.0000000,30,???
2002-02-05T04:04:23.0000000,30,???
2002-02-05T04:04:53.0000000,30,???
2002-02-05T04:05:23.0000000,30,???
2002-02-05T04:05:53.0000000,30,???
2002-02-05T04:06:23.0000000,30,???
2002-02-05T04:06:53.0000000,30,???
2002-02-05T04:07:23.0000000,30,???
2002-02-05T04:07:53.0000000,30,???
2002-02-05T04:08:23.0000000,30,???
2002-02-05T04:08:53.0000000,30,???
2002-02-05T04:09:23.0000000,30,???
2002-02-05T04:09:53.0000000,30,???
2002-02-05T04:10:23.0000000,30,???
2002-02-05T04:10:53.0000000,30,???
2002-02-05T04:11:23.0000000,30,???
2002-02-05T04:11:53.0000000,30,???
2002-02-05T04:12:23.0000000,30,???
2002-02-05T04:12:53.0000000,30,???
2002-02-05T04:13:23.0000000,30,???
2002-02-05T04:13:53.0000000,30,???
2002-02-05T04:14:23.0000000,30,???
2002-02-05T04:14:53.0000000,30,???
2002-02-05T04:15:23.0000000,30,???
2002-02-05T04:15:53.0000000,30,???
2002-02-05T04:16:23.0000000,30,???
2002-02-05T04:16:53.0000000,30,???
2002-02-05T04:17:23.0000000,30,???
2002-02-05T04:17:53.0000000,30,???
2002-02-05T04:18:23.0000000,30,???
2002-02-05T04:18:53.0000000,30,???
2002-02-05T04:19:23.0000000,30,???
2002-02-05T04:19:53.0000000,30,???
2002-02-05T04:20:23.0000000,30,???
2002-02-05T04:20:53.0000000,30,???
2002-02-05T04:21:23.0000000,30,???
2002-02-05T04:21:53.0000000,30,???
2002-02-05T04:22:23.0000000,30,???
2002-02-05T04:22:53.0000000,30,???
2002-02-05T04:23:23.0000000,30,???
2002-02-05T04:23:53.0000000,30,???
2002-02-05T04:24:23.0000000,30,???
2002-02-05T04:24:53.0000000,30,???
2002-02-05T04:25:23.0000000,30,???
2002-02-05T04:25:53.0000000,30,???
2002-02-05T04:26:23.0000000,30,???
2002-02-05T04:26:53.0000000,30,???
2002-02-05T04:27:23.0000000,30,???
2002-02-05T04:27:53.0000000,30,???
2002-02-05T04:28:23.0000000,30,???
2002-02-05T04:28:53.0000000,30,???
2002-02-05T04:29:23.0000000,30,???
2002-02-05T04:29:53.0000000,30,???
2002-02-05T04:30:23.0000000,30,???
2002-02-05T04:30:53.0000000,30,???
2002-02-05T04:31:23.0000000,30,???
2002-02-05T04:31:53.0000000,30,???
2002-02-05T04:32:23.0000000,30,???
2002-02-05T04:32:53.0000000,30,???
2002-02-05T04:33:23.0000000,30,???
2002-02-05T04:33:53.0000000,30,???
2002-02-05T04:34:23.0000000,30,???
2002-02-05T04:34:53.0000000,30,???
2002-02-05T04:35:23.0000000,30,???
2002-02-05T04:35:53.0000000,30,???
2002-02-05T04:36:23.0000000,30,???
2002-02-05T04:36:53.0000000,30,???
2002-02-05T04:37:23.0000000,30,???
2002-02-05T04:37:53.0000000,30,???
2002-02-05T04:38:23.0000000,30,???
2002-02-05T04:38:53.0000000,30,???
2002-02-05T04:39:23.0000000,30,???
2002-02-05T04:39:53.0000000,30,???
2002-02-05T04:40:23.0000000,30,???
2002-02-05T04:40:53.0000000,30,???
2002-02-05T04:41:23.0000000,30,???
2002-02-05T04:41:53.0000000,30,???
2002-02-05T04:42:23.0000000,30,???
2002-02-05T04:42:53.0000000,30,???
2002-02-05T04:43:23.0000000,30,???
2002-02-05T04:43:53.0000000,30,???
2002-02-05T04:44:23.0000000,30,???
2002-02-05T04:44:53.0000000,30,???
2002-02-05T04:45:23.0000000,30,???
2002-02-05T04:45:53.0000000,30,???
2002-02-05T04:46:23.0000000,30,???
2002-02-05T04:46:53.0000000,30,???
2002-02-05T04:47:23.0000000,30,???
2002-02-05T04:47:53.0000000,30,???
2002-02-05T04:48:23.0000000,30,???
2002-02-05T04:48:53.0000000,30,???
2002-02-05T04:49:23.0000000,30,???
2002-02-05T04:49:53.0000000,30,???
2002-02-05T04:50:23.0000000,30,???
2002-02-05T04:50:53.0000000,30,???
2002-02-05T04:51:23.0000000,30,???
2002-02-05T04:51:53.0000000,30,???
2002-02-05T04:52:23.0000000,30,???
2002-02-05T04:52:53.0000000,30,???
2002-02-05T04:53:23.0000000,30,???
2002-02-05T04:53:53.0000000,30,???
2002-02-05T04:54:23.0000000,30,???
2002-02-05T04:54:53.0000000,30,???
2002-02-05T04:55:23.0000000,30,???
2002-02-05T04:55:53.0000000,30,???
2002-02-05T04:56:23.0000000,30,???
2002-02-05T04:56:53.0000000,30,???
2002-02-05T04:57:23.0000000,30,???
2002-02-05T04:57:53.0000000,30,???
2002-02-05T04:58:23.0000000,30,???
2002-02-05T04:58:53.0000000,30,???
2002-02-05T04:59:23.0000000,30,???
2002-02-05T04:59:53.0000000,30,???
2002-02-05T05:00:23.0000000,30,???
2002-02-05T05:00:53.0000000,30,???
2002-02-05T05:01:23.0000000,30,???
2002-02-05T05:01:53.0000000,30,???
2002-02-05T05:02:23.0000000,30,???
2002-02-05T05:02:53.0000000,30,???
2002-02-05T05:03:23.0000000,30,???
2002-02-05T05:03:53.0000000,30,???
2002-02-05T05:04:23.0000000,30,???
2002-02-05T05:04:53.0000000,30,???
2002-02-05T05:05:23.0000000,30,???
2002-02-05T05:05:53.0000000,30,???
2002-02-05T05:06:23.0000000,30,???
2002-02-05T05:06:53.0000000,30,???
2002-02-05T05:07:23.0000000,30,???
2002-02-05T05:07:53.0000000,30,???
2002-02-05T05:08:23.0000000,30,???
2002-02-05T05:08:53.0000000,30,???
2002-02-05T05:09:23.0000000,30,???
2002-02-05T05:09:53.0000000,30,???
2002-02-05T05:10:23.0000000,30,???
2002-02-05T05:10:53.0000000,30,???
2002-02-05T05:11:23.0000000,30,???
2002-02-05T05:11:53.0000000,30,???
2002-02-05T05:12:23.0000000,30,???
2002-02-05T05:12:53.0000000,30,???
2002-02-05T05:13:23.0000000,30,???
2002-02-05T05:13:53.0000000,30,???
2002-02-05T05:14:23.0000000,30,???
2002-02-05T05:14:53.0000000,30,???
2002-02-05T05:15:23.0000000,30,???
2002-02-05T05:15:53.0000000,30,???
2002-02-05T05:16:23.0000000,30,???
2002-02-05T05:16:53.0000000,30,???
